ID	name	species	sex	cc	cp	maT	apodeme	sp.number	sex.number	csize	sqapodeme	center.cc	center.csize	pc1	pc2
96	FABTAO19	abtao	female	15.9	8.373	0.362922064	0.62	1	1	183.95555729258	0.787400787401181	0.737441860465117	2.71477482069872	-0.0643542490439217	0.00524740346456131
97	FABTAO2	abtao	female	15.27	7.803	0.379498861	0.55	1	1	175.854552199856	0.741619848709566	0.107441860465116	-5.38623027202519	-0.034600602377641	0.0466931457956857
98	FABTAO20	abtao	female	16.69	8.882	0.388347584	0.74	1	1	206.573729894082	0.860232526704263	1.52744186046512	25.3329474222006	-0.0303018719899145	0.027831072987649
99	FABTAO21	abtao	female	15.48	7.92	0.327152318	0.55	1	1	175.81875694623	0.741619848709566	0.317441860465117	-5.42202552565044	-0.0565624779842566	0.027141642804056
100	FABTAO22	abtao	female	14.01	7.738	0.375026277	0.57	1	1	172.218397596158	0.754983443527075	-1.15255813953488	-9.02238487572322	-0.0506923403901962	0.0439050862021998
101	FABTAO23	abtao	female	16.35	8.689	0.37016346	0.62	1	1	186.50595322465	0.787400787401181	1.18744186046512	5.26517075276902	-0.0445332891089565	0.0651836536601586
102	FABTAO24	abtao	female	15.97	8.567	0.341487473	0.73	1	1	192.909305115124	0.854400374531753	0.807441860465117	11.6685226432431	-0.0477992196286553	0.0271756936498023
103	FABTAO25	abtao	female	16.41	8.938	0.368336993	0.63	1	1	200.431299657396	0.793725393319377	1.24744186046512	19.1905171855153	-0.0611208046628129	0.0487600102316205
104	FABTAO26	abtao	female	15.65	9.146	0.300693909	0.58	1	1	195.447600921276	0.761577310586391	0.487441860465117	14.2068184493951	-0.0524643667140425	0.0130981659005765
105	FABTAO27	abtao	female	15.55	8.597	0.373737374	0.62	1	1	188.678999111937	0.787400787401181	0.387441860465117	7.4382166400562	-0.0428301687356118	0.0407608568153913
106	FABTAO28	abtao	female	14.06	7.334	0.398728215	0.56	1	1	178.609992474567	0.748331477354788	-1.10255813953488	-2.63078999731434	-0.0348909623877142	0.0620255308955961
107	FABTAO29	abtao	female	16.35	8.239	0.390243902	0.63	1	1	196.717474327733	0.793725393319377	1.18744186046512	15.4766918558523	-0.0620602010537089	0.0400493304281984
108	FABTAO3	abtao	female	14.73	7.758	0.337551772	0.53	1	1	174.648217855207	0.728010988928052	-0.432558139534883	-6.59256461667343	-0.0312214063957616	0.00959609151246258
109	FABTAO30	abtao	female	14.95	8.152	0.334303534	0.49	1	1	172.845391641677	0.7	-0.212558139534885	-8.39539083020387	-0.0711464715289034	0.00728285185907044
110	FABTAO31	abtao	female	14.62	8.204	0.362350381	0.62	1	1	186.351975636239	0.787400787401181	-0.542558139534885	5.11119316435813	-0.0569348753700675	0.0200739274755932
